,device_type,pressure,sensor_type,timestamps
324,smartphone,101.4698,pressure,1.528128796999985e+18
325,smartphone,101.4675,pressure,1.528128798999983e+18
326,smartphone,101.4645,pressure,1.528128798999983e+18
327,smartphone,101.4628,pressure,1.528128800999983e+18
328,smartphone,101.4628,pressure,1.528128800999983e+18
329,smartphone,101.4627,pressure,1.528128802999982e+18
330,smartphone,101.4629,pressure,1.528128802999982e+18
331,smartphone,101.4633,pressure,1.52812880499998e+18
332,smartphone,101.465,pressure,1.52812880499998e+18
333,smartphone,101.4663,pressure,1.5281288069999777e+18
334,smartphone,101.4677,pressure,1.5281288079999777e+18
335,smartphone,101.4725,pressure,1.5281288079999777e+18
336,smartphone,101.4749,pressure,1.528128809999977e+18
337,smartphone,101.4771,pressure,1.528128809999977e+18
338,smartphone,101.4772,pressure,1.528128811999974e+18
339,smartphone,101.4771,pressure,1.528128811999974e+18
340,smartphone,101.4757,pressure,1.528128813999972e+18
341,smartphone,101.4725,pressure,1.528128814999972e+18
342,smartphone,101.4725,pressure,1.528128814999972e+18
343,smartphone,101.4731,pressure,1.52812881699997e+18
344,smartphone,101.4732,pressure,1.52812881699997e+18
345,smartphone,101.4755,pressure,1.528128818999969e+18
346,smartphone,101.4828,pressure,1.528128818999969e+18
347,smartphone,101.4793,pressure,1.528128820999967e+18
348,smartphone,101.4793,pressure,1.528128820999967e+18
349,smartphone,101.4787,pressure,1.528128822999965e+18
350,smartphone,101.4772,pressure,1.528128822999965e+18
351,smartphone,101.4772,pressure,1.5281288249999631e+18
352,smartphone,101.4804,pressure,1.5281288249999631e+18
353,smartphone,101.4804,pressure,1.52812882699996e+18
354,smartphone,101.4793,pressure,1.52812882799996e+18
355,smartphone,101.4783,pressure,1.52812882799996e+18
356,smartphone,101.4769,pressure,1.528128829999957e+18
357,smartphone,101.4764,pressure,1.528128829999957e+18
358,smartphone,101.4756,pressure,1.5281288319999552e+18
359,smartphone,101.4756,pressure,1.5281288319999552e+18
360,smartphone,101.4761,pressure,1.5281288339999532e+18
361,smartphone,101.4761,pressure,1.5281288339999532e+18
362,smartphone,101.4773,pressure,1.5281288359999508e+18
363,smartphone,101.4784,pressure,1.5281288359999508e+18
364,smartphone,101.4773,pressure,1.528128837999949e+18
365,smartphone,101.4762,pressure,1.528128837999949e+18
366,smartphone,101.4747,pressure,1.528128839999947e+18
367,smartphone,101.4731,pressure,1.528128839999947e+18
368,smartphone,101.4752,pressure,1.528128841999945e+18
369,smartphone,101.4753,pressure,1.528128841999945e+18
370,smartphone,101.4769,pressure,1.528128843999943e+18
371,smartphone,101.4778,pressure,1.528128843999943e+18
372,smartphone,101.4784,pressure,1.52812884599994e+18
373,smartphone,101.4799,pressure,1.52812884599994e+18
374,smartphone,101.4799,pressure,1.528128847999938e+18
375,smartphone,101.4798,pressure,1.528128847999938e+18
376,smartphone,101.4783,pressure,1.5281288499999357e+18
377,smartphone,101.4767,pressure,1.5281288499999357e+18
378,smartphone,101.4767,pressure,1.528128851999934e+18
379,smartphone,101.4772,pressure,1.528128851999934e+18
380,smartphone,101.4785,pressure,1.5281288539999311e+18
381,smartphone,101.479,pressure,1.5281288539999311e+18
382,smartphone,101.4791,pressure,1.5281288559999288e+18
383,smartphone,101.4792,pressure,1.5281288559999288e+18
384,smartphone,101.4799,pressure,1.528128857999928e+18
385,smartphone,101.4804,pressure,1.528128857999928e+18
386,smartphone,101.4836,pressure,1.528128859999925e+18
387,smartphone,101.4836,pressure,1.528128859999925e+18
388,smartphone,101.4825,pressure,1.528128861999923e+18
389,smartphone,101.4788,pressure,1.528128861999923e+18
390,smartphone,101.4778,pressure,1.5281288639999199e+18
391,smartphone,101.4754,pressure,1.5281288639999199e+18
392,smartphone,101.4732,pressure,1.5281288659999188e+18
393,smartphone,101.4732,pressure,1.5281288659999188e+18
394,smartphone,101.4761,pressure,1.528128867999917e+18
395,smartphone,101.4768,pressure,1.528128867999917e+18
396,smartphone,101.4772,pressure,1.5281288699999142e+18
397,smartphone,101.4804,pressure,1.5281288699999142e+18
398,smartphone,101.4811,pressure,1.528128871999912e+18
399,smartphone,101.4811,pressure,1.528128871999912e+18
400,smartphone,101.4798,pressure,1.5281288739999089e+18
401,smartphone,101.4795,pressure,1.5281288739999089e+18
402,smartphone,101.479,pressure,1.528128875999907e+18
403,smartphone,101.4783,pressure,1.528128875999907e+18
404,smartphone,101.4783,pressure,1.528128877999906e+18
405,smartphone,101.4791,pressure,1.528128877999906e+18
406,smartphone,101.4791,pressure,1.528128879999903e+18
407,smartphone,101.4788,pressure,1.528128879999903e+18
408,smartphone,101.477,pressure,1.5281288819999012e+18
409,smartphone,101.4768,pressure,1.5281288819999012e+18
410,smartphone,101.475,pressure,1.5281288839998979e+18
411,smartphone,101.473,pressure,1.5281288839998979e+18
412,smartphone,101.473,pressure,1.528128885999896e+18
413,smartphone,101.47399999999999,pressure,1.528128885999896e+18
414,smartphone,101.4743,pressure,1.528128887999893e+18
415,smartphone,101.4744,pressure,1.528128888999894e+18
416,smartphone,101.4746,pressure,1.528128888999894e+18
417,smartphone,101.4744,pressure,1.528128890999891e+18
418,smartphone,101.4738,pressure,1.528128890999891e+18
419,smartphone,101.4738,pressure,1.5281288929998892e+18
420,smartphone,101.4747,pressure,1.5281288929998892e+18
421,smartphone,101.4759,pressure,1.528128894999886e+18
422,smartphone,101.4747,pressure,1.528128894999886e+18
423,smartphone,101.4732,pressure,1.5281288969998838e+18
424,smartphone,101.473,pressure,1.5281288969998838e+18
425,smartphone,101.4721,pressure,1.528128898999882e+18
426,smartphone,101.4721,pressure,1.528128898999882e+18
427,smartphone,101.4769,pressure,1.528128900999879e+18
428,smartphone,101.4769,pressure,1.528128901999879e+18
429,smartphone,101.4767,pressure,1.528128901999879e+18
430,smartphone,101.4756,pressure,1.5281289039998769e+18
431,smartphone,101.4756,pressure,1.5281289039998769e+18
