,device_type,distance,sensor_type,steps,timestamps
445,smartphone,695.72,pedometer,1017,1.528128917999861e+18
446,smartphone,695.72,pedometer,1017,1.5281289199998592e+18
447,smartphone,699.2,pedometer,1023,1.5281289199998592e+18
448,smartphone,699.2,pedometer,1023,1.528128921999857e+18
449,smartphone,701.52,pedometer,1027,1.528128921999857e+18
450,smartphone,701.52,pedometer,1027,1.5281289239998538e+18
451,smartphone,701.52,pedometer,1027,1.5281289239998538e+18
452,smartphone,705.06,pedometer,1033,1.528128925999852e+18
453,smartphone,705.06,pedometer,1033,1.528128925999852e+18
454,smartphone,707.42,pedometer,1037,1.528128927999849e+18
455,smartphone,707.42,pedometer,1037,1.528128927999849e+18
456,smartphone,707.42,pedometer,1037,1.5281289299998472e+18
457,smartphone,710.96,pedometer,1043,1.5281289299998472e+18
458,smartphone,710.96,pedometer,1043,1.528128931999845e+18
459,smartphone,714.38,pedometer,1049,1.528128931999845e+18
460,smartphone,714.38,pedometer,1049,1.5281289339998428e+18
461,smartphone,714.38,pedometer,1049,1.5281289339998428e+18
462,smartphone,716.66,pedometer,1053,1.52812893599984e+18
463,smartphone,716.66,pedometer,1053,1.52812893599984e+18
464,smartphone,718.9,pedometer,1057,1.5281289379998382e+18
465,smartphone,718.9,pedometer,1057,1.5281289379998382e+18
466,smartphone,718.9,pedometer,1057,1.5281289379998382e+18
467,smartphone,721.14,pedometer,1061,1.528128939999836e+18
468,smartphone,721.14,pedometer,1061,1.528128939999836e+18
469,smartphone,721.14,pedometer,1061,1.528128941999833e+18
470,smartphone,723.46,pedometer,1065,1.528128941999833e+18
471,smartphone,723.46,pedometer,1065,1.5281289439998318e+18
472,smartphone,725.78,pedometer,1069,1.5281289439998318e+18
